miRNA	Calu3_smallRNA-S1-4h-A	Calu3_smallRNA-S1-4h-B	Calu3_smallRNA-S1-12h-A	Calu3_smallRNA-S1-12h-B	Calu3_smallRNA-S1-24h-A	Calu3_smallRNA-S1-24h-B	Calu3_smallRNA-S2-4h-A	Calu3_smallRNA-S2-4h-B	Calu3_smallRNA-S2-12h-A	Calu3_smallRNA-S2-12h-B	Calu3_smallRNA-S2-24h-A	Calu3_smallRNA-S2-24h-B	Calu3_smallRNA-mock-4h-A	Calu3_smallRNA-mock-4h-B	Calu3_smallRNA-mock-24h-A	Calu3_smallRNA-mock-24h-B	Calu3_smallRNA-untr-4h-A	Calu3_smallRNA-untr-4h-B
hsa-miR-3614-3p	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0
hsa-miR-3614-5p	1	3	2	2	5	3	3	1	4	5	3	3	2	3	1	0	5	1
hsa-miR-3615	57	51	27	63	31	18	39	55	34	19	34	27	87	51	31	30	105	68
hsa-miR-3617-3p	1	1	1	0	3	0	2	0	1	0	0	0	4	0	1	0	0	4
hsa-miR-3617-5p	0	0	1	0	0	0	0	0	0	1	0	2	1	5	0	0	0	2
hsa-miR-3618	1	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	1	1
hsa-miR-3619-3p	4	4	5	7	6	1	3	7	3	2	3	6	7	4	4	2	12	4
hsa-miR-3619-5p	10	9	6	10	6	9	3	6	4	5	10	3	9	11	3	6	16	9
hsa-miR-362-3p	29	32	17	32	18	8	13	6	8	12	10	7	256	50	17	18	51	102
hsa-miR-362-5p	18	35	13	46	22	5	22	33	33	16	16	16	55	24	12	4	36	20
hsa-miR-3620-3p	60	75	39	71	47	25	45	54	41	24	40	42	84	78	27	39	73	65
hsa-miR-3622a-5p	2	3	1	1	0	0	3	0	0	0	1	1	1	2	1	1	1	1
hsa-miR-3622b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-363-3p	17	25	8	36	14	9	21	30	11	6	23	20	35	22	10	10	32	15
hsa-miR-363-5p	0	2	1	0	0	0	1	1	0	1	2	1	2	6	2	1	2	0
hsa-miR-3648	0	0	0	0	0	0	0	0	2	0	0	0	6	2	0	0	0	0
hsa-miR-3651	53	63	46	71	34	20	34	53	24	37	37	37	81	53	14	25	65	46
hsa-miR-3657	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3658	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-365a-3p	914	1014	604	870	512	220	338	342	280	346	494	202	864	1416	564	554	1286	908
hsa-miR-365a-5p	21	19	11	16	15	3	9	28	6	6	7	12	23	24	6	11	31	16
hsa-miR-365b-3p	914	1014	604	870	512	220	338	342	280	346	494	202	864	1416	564	554	1286	908
hsa-miR-365b-5p	10	28	5	17	8	6	12	19	6	8	5	8	15	20	7	7	25	14
hsa-miR-3660	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0
hsa-miR-3661	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0
hsa-miR-3662	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	2
hsa-miR-3664-3p	5	8	5	6	5	0	1	7	4	1	2	2	6	8	1	3	11	8
hsa-miR-3664-5p	0	1	0	3	3	0	1	1	2	1	0	2	3	1	1	1	0	4
hsa-miR-3677-3p	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0
hsa-miR-3677-5p	2	1	0	2	1	4	2	6	2	2	0	1	2	1	1	2	3	3
hsa-miR-3679-3p	9	8	5	13	9	0	5	5	0	8	6	3	7	11	3	2	10	7
hsa-miR-3679-5p	13	15	7	17	12	2	7	20	3	4	15	11	10	10	4	9	17	7
hsa-miR-3680-3p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3680-5p	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-3682-3p	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	1	1	0
hsa-miR-3682-5p	2	3	1	0	0	2	0	3	0	0	0	1	0	1	0	1	4	0
hsa-miR-3688-3p	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0
hsa-miR-369-3p	64	77	35	102	70	27	16	47	16	36	37	20	178	123	33	44	109	167
hsa-miR-369-5p	17	13	10	12	9	6	4	6	8	6	5	8	18	12	2	2	7	13
hsa-miR-3690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-3691-3p	0	1	0	1	0	0	0	0	0	0	1	1	1	2	0	0	0	1
hsa-miR-3691-5p	2	1	1	3	0	1	0	3	5	0	0	0	3	2	1	2	2	0
hsa-miR-3692-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
hsa-miR-370-3p	0	1	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	1
hsa-miR-370-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-371b-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-371b-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-374a-3p	79	64	55	77	81	31	31	28	27	61	20	23	487	237	77	73	233	430
hsa-miR-374a-5p	411	359	291	405	281	68	79	76	66	131	133	73	2270	1011	458	298	1341	1810
hsa-miR-374b-3p	9	15	7	21	9	4	8	8	6	4	8	4	80	30	16	16	31	74
hsa-miR-374b-5p	5639	7210	4185	7716	4449	1991	3247	4392	2534	3164	3863	3070	5425	7891	2916	3030	6958	4858
hsa-miR-374c-3p	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3
hsa-miR-374c-5p	14	15	10	15	16	6	13	7	7	6	4	5	17	12	11	18	12	17
hsa-miR-375-3p	15	20	11	24	12	8	7	17	5	5	9	5	24	25	3	14	17	25
hsa-miR-375-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376a-2-5p	0	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	1	1
hsa-miR-376a-3p	60	54	46	90	82	22	24	46	30	36	58	32	166	54	20	18	58	102
hsa-miR-376a-5p	0	3	1	2	3	0	1	1	0	1	3	2	6	1	1	1	5	3
hsa-miR-376b-3p	0	2	2	3	5	0	1	1	0	0	2	2	3	3	2	0	2	0
hsa-miR-376b-5p	0	1	1	1	0	0	0	0	0	1	0	0	4	0	1	0	0	0
hsa-miR-376c-3p	32	50	32	79	47	9	21	44	14	29	33	32	122	48	20	14	49	49
hsa-miR-376c-5p	0	1	1	1	0	0	0	0	0	1	0	0	3	0	1	0	0	0
hsa-miR-377-3p	5	1	5	2	5	0	2	4	2	3	3	5	21	3	2	2	2	6
hsa-miR-377-5p	2	2	1	1	2	1	0	0	1	0	1	1	1	0	0	0	2	0
hsa-miR-378a-3p	14	30	10	22	8	3	9	19	12	3	6	15	16	22	6	6	30	12
hsa-miR-378a-5p	36	70	36	91	31	19	32	61	29	19	34	28	101	62	22	36	58	43
hsa-miR-378b	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378c	1	1	3	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0
hsa-miR-378d	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-378e	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0
hsa-miR-378g	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
hsa-miR-378i	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
hsa-miR-379-3p	17	13	5	20	8	9	8	9	5	5	10	10	36	13	4	7	18	25
hsa-miR-379-5p	39	48	12	50	24	23	20	35	14	11	18	18	104	64	20	19	50	54
hsa-miR-380-3p	15	12	7	14	7	8	4	12	7	8	7	3	28	8	5	3	12	20
hsa-miR-380-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-381-3p	12	27	7	29	13	10	4	14	7	8	13	14	14	11	2	4	14	13
hsa-miR-381-5p	2	0	1	1	1	1	1	0	1	2	1	1	0	2	0	1	1	0
hsa-miR-382-3p	19	22	12	30	21	7	1	4	2	5	10	5	25	15	6	4	23	10
hsa-miR-382-5p	127	148	80	159	108	52	83	117	55	61	85	71	143	132	46	51	161	87
hsa-miR-383-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3909	2	3	2	4	2	2	3	4	2	2	1	1	5	4	1	2	4	2
hsa-miR-3911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3912-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
hsa-miR-3912-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-3913-3p	0	0	0	2	0	0	0	0	0	6	2	0	0	0	0	0	0	0
hsa-miR-3913-5p	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
hsa-miR-3914	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3916	0	6	0	1	1	1	3	3	4	1	4	2	1	4	0	1	3	2
hsa-miR-3917	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3918	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3919	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3924	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	1
hsa-miR-3925-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3928-3p	1	2	1	1	2	1	0	2	1	1	2	0	0	1	1	2	8	2
hsa-miR-3928-5p	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-3929	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3934-5p	11	21	7	37	10	7	11	25	10	15	15	9	15	19	3	8	19	12
hsa-miR-3935	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3936	3	1	3	5	1	1	1	0	0	0	1	1	2	2	0	0	3	1
hsa-miR-3940-3p	13	12	9	15	3	7	11	10	8	9	6	11	16	18	5	6	25	9
hsa-miR-3940-5p	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3942-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3942-5p	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	3
hsa-miR-3944-3p	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3944-5p	1	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1
hsa-miR-3945	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
hsa-miR-3960	2	3	1	1	3	8	0	1	3	0	2	1	1	2	0	2	1	0
hsa-miR-3973	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-409-3p	137	193	100	190	110	51	68	89	55	91	73	38	245	184	64	46	215	168
hsa-miR-409-5p	14	10	6	8	6	2	3	5	4	1	5	9	16	15	12	8	23	16
hsa-miR-410-3p	3	9	7	7	5	1	10	7	6	1	3	4	12	9	3	2	4	4
hsa-miR-410-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-411-3p	19	27	25	35	19	17	14	15	8	10	21	17	47	38	16	23	38	42
hsa-miR-411-5p	5	10	13	11	8	1	3	6	4	6	8	10	26	13	4	2	13	13
hsa-miR-412-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-412-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-421	174	193	121	249	115	49	80	111	57	99	89	77	428	288	103	73	316	305
hsa-miR-422a	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
hsa-miR-423-3p	1066	1450	718	1615	696	413	843	1360	731	588	868	672	2840	1460	571	561	1865	1717
hsa-miR-423-5p	4176	5223	2478	5783	2694	1732	3172	5295	2711	2407	3287	3091	4860	5314	1798	1824	5974	3161
hsa-miR-424-3p	96	107	50	111	79	43	48	87	26	42	77	75	185	110	61	58	124	150
hsa-miR-424-5p	125	185	128	216	132	90	67	108	80	54	81	97	1791	214	79	102	268	446
hsa-miR-425-3p	104	147	61	159	88	42	77	170	93	59	74	87	178	106	26	71	170	101
hsa-miR-425-5p	569	664	333	776	389	161	303	488	340	269	388	288	1695	923	386	267	939	983
hsa-miR-4252	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4259	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4271	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0
hsa-miR-4281	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4284	35	36	21	61	49	33	24	34	42	28	193	200	50	49	25	21	42	28
hsa-miR-4286	2	5	3	5	4	4	5	2	6	2	7	2	2	1	3	3	2	4
hsa-miR-429	3293	3448	2427	4439	2979	912	1343	1549	1140	1782	1941	980	11429	5950	2590	2517	5934	8491
hsa-miR-4290	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4298	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4301	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0
hsa-miR-4306	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-432-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
hsa-miR-4326	2	1	4	2	4	3	0	0	1	1	2	1	3	1	3	1	7	3
hsa-miR-4421	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4422	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-4423-5p	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0
hsa-miR-4428	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4433a-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-4433b-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-4435	6	8	4	4	4	4	0	0	2	2	10	4	8	6	2	2	12	10
hsa-miR-4436b-3p	6	4	2	6	10	0	4	6	2	6	2	2	4	4	2	6	6	2
hsa-miR-4436b-5p	0	0	2	4	0	0	0	4	0	0	4	2	0	2	0	0	4	0
hsa-miR-4440	0	0	0	0	0	0	0	1	0	0	1	0	1	1	2	0	1	1
hsa-miR-4442	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4443	3	3	0	7	6	2	2	1	6	4	4	7	3	1	0	2	1	4
hsa-miR-4444	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4446-3p	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0
hsa-miR-4448	0	1	0	0	0	1	1	1	3	0	1	1	2	0	0	0	0	1
hsa-miR-4449	171	212	98	177	67	45	127	229	64	76	104	79	211	191	42	50	294	172
hsa-miR-4454	41	17	13	20	17	22	13	7	9	8	14	13	82	65	38	40	44	56
hsa-miR-4455	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0
hsa-miR-4458	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4463	1	0	0	4	7	7	1	1	6	1	51	47	1	1	1	1	2	1
hsa-miR-4466	1	3	1	3	3	2	0	0	2	2	2	2	0	2	2	0	1	2
hsa-miR-4467	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4470	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
hsa-miR-4473	4	6	3	6	5	0	1	0	4	2	1	6	4	1	1	4	9	13
hsa-miR-4474-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4479	1	1	0	2	0	3	1	2	4	0	2	1	1	0	0	1	3	1
hsa-miR-4484	4	12	1	5	3	3	3	2	2	1	6	4	6	4	1	2	10	4
hsa-miR-4485-3p	111	116	99	161	620	453	87	103	301	265	3020	2268	175	140	100	121	260	139
hsa-miR-4485-5p	13	25	9	24	7	14	7	22	9	11	17	12	35	11	3	15	30	19
hsa-miR-4488	8	6	9	13	11	14	2	9	6	7	20	17	6	2	7	13	8	7
hsa-miR-4489	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-4492	0	1	0	1	1	2	0	1	2	2	5	0	0	0	1	0	0	0
hsa-miR-4498	0	2	0	0	0	1	0	1	1	0	0	0	2	0	0	0	1	1
hsa-miR-449a	1	1	0	2	1	1	0	2	0	0	2	2	1	0	0	0	2	2
hsa-miR-449b-3p	1	0	0	1	4	0	1	1	0	0	0	3	0	0	0	1	1	5
hsa-miR-449b-5p	0	0	0	2	0	0	0	1	1	0	2	1	1	0	0	0	0	2
hsa-miR-449c-5p	1	3	0	1	1	0	1	2	1	2	2	2	2	2	2	1	0	0
hsa-miR-4504	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-4508	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-450a-1-3p	4	8	2	9	1	2	3	3	2	2	2	3	11	10	1	2	5	12
hsa-miR-450a-2-3p	0	0	1	0	2	0	0	0	1	0	0	1	1	1	0	1	2	0
hsa-miR-450a-5p	14	8	5	14	8	2	2	6	7	8	8	2	46	3	0	0	8	12
hsa-miR-450b-5p	12	18	16	20	11	7	6	9	6	16	4	2	19	25	15	13	21	25
hsa-miR-4510	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0
hsa-miR-4511	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1
hsa-miR-4512	2	3	0	1	1	0	0	0	0	0	0	1	1	1	0	0	2	0
hsa-miR-4516	0	2	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	0
hsa-miR-4517	10	7	1	13	3	1	2	2	2	3	3	3	18	16	6	0	9	12
hsa-miR-451a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-452-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-452-5p	106	137	71	145	101	42	74	115	74	58	89	82	299	163	48	51	114	140
hsa-miR-4521	49	50	20	62	22	10	38	59	35	17	43	43	57	53	22	10	51	32
hsa-miR-4522	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4523	0	0	2	1	0	0	1	1	0	2	0	0	2	1	0	1	0	0
hsa-miR-4524a-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-4525	9	9	3	11	6	9	9	8	2	8	6	6	11	9	3	10	13	7
hsa-miR-4534	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4536-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-454-3p	931	989	512	1175	574	179	429	551	313	466	494	327	1656	1519	546	377	1245	1397
hsa-miR-454-5p	37	49	25	52	42	15	20	32	14	37	28	9	38	58	33	25	49	32
hsa-miR-455-3p	168	335	147	349	134	90	128	294	135	107	135	129	310	252	81	144	360	208
hsa-miR-455-5p	2	7	5	1	5	2	2	5	3	3	5	0	15	2	1	1	3	8
hsa-miR-4635	0	0	0	2	1	0	0	1	0	1	0	0	2	0	0	0	0	0
hsa-miR-4637	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-4638-3p	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-4639-3p	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4640-3p	24	38	24	38	20	12	22	41	15	33	22	21	46	50	14	20	53	28
hsa-miR-4640-5p	1	8	2	9	7	3	7	4	4	6	1	5	4	5	1	2	7	7
hsa-miR-4641	4	0	3	6	3	0	0	2	1	0	0	0	7	4	2	0	0	2
hsa-miR-4642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4643	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4644	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
hsa-miR-4646-3p	1	0	0	0	1	3	0	3	0	0	0	0	0	1	0	0	0	0
hsa-miR-4646-5p	1	1	0	0	2	0	0	0	1	0	1	1	1	0	0	0	2	0
hsa-miR-4647	0	3	0	0	0	0	0	0	0	2	1	1	1	1	1	0	1	0
hsa-miR-4648	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0
hsa-miR-4651	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-4653-3p	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4654	0	0	0	0	1	0	0	2	0	1	0	1	1	1	0	0	0	0
hsa-miR-4655-3p	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-5p	2	2	0	1	0	0	1	0	1	0	2	0	3	3	0	0	2	1
hsa-miR-4657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4658	0	3	1	3	1	0	2	0	0	0	5	3	0	1	1	0	0	2
hsa-miR-4659a-3p	1	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0
hsa-miR-4659a-5p	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0
hsa-miR-466	5	3	1	2	5	0	1	0	3	0	0	0	1	2	0	0	6	3
hsa-miR-4661-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4661-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4662a-5p	0	0	0	2	1	0	0	1	0	2	1	0	0	2	2	1	1	1
hsa-miR-4664-3p	1	2	0	4	1	0	2	1	0	1	1	1	4	1	0	0	4	4
hsa-miR-4664-5p	4	11	5	15	4	2	3	7	2	6	4	8	5	8	5	4	11	12
hsa-miR-4665-5p	2	4	1	3	0	0	7	3	1	0	1	0	4	1	0	0	5	1
hsa-miR-4666a-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-4667-3p	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-4667-5p	0	2	0	0	4	0	1	0	0	1	1	0	0	0	0	1	1	0
hsa-miR-4668-3p	0	0	1	1	0	0	0	0	0	1	1	0	1	3	0	0	0	1
hsa-miR-4668-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4671-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4672	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4674	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	2	3	1	5	1	2	0	0	1	0	0	1	2	1	1	1	7	4
hsa-miR-4676-5p	1	2	2	4	1	2	3	2	0	2	5	2	2	0	2	1	2	1
hsa-miR-4677-3p	0	1	0	4	0	0	1	1	2	0	2	0	7	4	0	0	2	1
hsa-miR-4677-5p	1	4	3	2	0	1	2	0	1	2	3	1	1	0	4	2	7	2
hsa-miR-4683	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-4684-3p	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	0
hsa-miR-4684-5p	2	0	0	3	0	0	1	0	1	0	0	1	4	0	0	0	3	0
hsa-miR-4685-3p	2	2	3	6	1	1	1	2	3	2	3	2	1	2	1	5	4	4
hsa-miR-4687-3p	0	0	1	3	0	2	0	0	0	0	0	1	0	1	0	0	1	0
hsa-miR-4687-5p	3	4	0	4	5	2	1	8	3	0	1	3	3	5	0	3	9	5
hsa-miR-4688	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4689	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0
hsa-miR-4690-3p	1	0	1	2	0	0	0	3	0	2	0	0	4	0	1	1	0	2
hsa-miR-4691-3p	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4691-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4695-3p	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-4695-5p	1	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0
hsa-miR-4697-5p	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4698	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4700-5p	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0
hsa-miR-4701-3p	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
hsa-miR-4701-5p	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0
hsa-miR-4706	0	1	0	5	1	0	0	0	1	1	3	0	3	1	0	0	0	2
hsa-miR-4707-3p	0	2	1	2	0	1	0	3	2	0	0	1	3	3	2	0	2	4
hsa-miR-4707-5p	0	3	1	4	2	2	0	1	1	1	2	0	3	1	0	2	6	0
hsa-miR-4708-5p	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-4710	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0
hsa-miR-4713-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-3p	0	0	0	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0
hsa-miR-4716-3p	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-4716-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	1	4	2	1	0	0	0	1	2	1	0	0	1	2	0	0	0	1
hsa-miR-4721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4722-5p	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0
hsa-miR-4723-3p	4	2	2	4	2	2	1	3	2	0	6	3	0	1	5	3	7	4
hsa-miR-4723-5p	0	2	2	1	1	0	0	2	1	0	0	1	1	5	0	1	2	3
hsa-miR-4724-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0
hsa-miR-4725-3p	8	9	4	11	2	5	3	10	0	3	5	3	10	5	4	2	5	2
hsa-miR-4725-5p	1	2	1	1	0	2	2	2	1	0	0	3	2	0	1	0	2	0
hsa-miR-4726-3p	1	3	0	1	0	0	0	2	1	1	0	1	1	0	0	0	1	1
hsa-miR-4726-5p	4	6	0	5	2	1	8	7	4	2	0	0	7	2	1	6	3	4
hsa-miR-4727-3p	1	1	1	2	0	1	0	1	1	1	4	0	0	2	1	1	0	1
